State,lessThan50,fifty,hundred,hundredfifty,threeHundred,fiveHundred,million
Alabama_Estimate,152320,214121,206515,214277,220481,81862,13046
Alaska_Estimate,9697,7465,10389,14587,67659,23199,1900
Arizona_Estimate,125692,73229,85306,137958,670511,363242,66660
Arkansas_Estimate,87515,136544,131059,141984,95301,37580,7883
California_Estimate,206642,143160,109937,134105,1547969,3163235,1732684
Colorado_Estimate,52202,33346,31358,43802,559328,561861,113572
Connecticut_Estimate,26645,22266,47527,105876,307197,140332,50535
Delaware_Estimate,15779,10566,13414,26026,104441,34792,4643
District of Columbia_Estimate,2027,594,1729,1728,30891,59363,30485
Florida_Estimate,330619,332115,374525,598544,1746446,805046,204092
Georgia_Estimate,183254,213818,243440,354263,650484,306883,55143
Hawaii_Estimate,3193,4591,4724,4293,54742,151573,70288
Idaho_Estimate,26886,17693,19875,31551,184718,117021,19331
Illinois_Estimate,204173,363415,392672,466577,781189,312247,65951
Indiana_Estimate,132559,263454,314069,347938,311272,89017,15097
Iowa_Estimate,69806,137109,160984,165546,149728,41254,6179
Kansas_Estimate,73038,121870,108202,117839,137500,49276,6442
Kentucky_Estimate,125030,180015,196487,209202,188427,59851,10060
Louisiana_Estimate,121763,148950,151060,204036,198795,66684,14781
Maine_Estimate,27498,38832,42383,56068,116895,51205,8969
Maryland_Estimate,52895,40994,59635,109084,598062,380529,69897
Massachusetts_Estimate,38347,18913,26405,54486,575792,657832,157380
Michigan_Estimate,255911,342898,407304,484498,566674,192293,33669
Minnesota_Estimate,80852,78652,117549,174769,536561,201851,27814
Mississippi_Estimate,121914,155882,125256,120273,89753,25453,4899
Missouri_Estimate,130664,202020,247599,277395,320559,102013,21934
Montana_Estimate,17862,18197,17560,28909,95046,59163,14784
Nebraska_Estimate,36971,54405,69597,97416,101537,29610,4627
Nevada_Estimate,29979,12711,16866,29623,312893,145487,29264
New Hampshire_Estimate,14776,11132,15615,29104,161151,73016,8485
New Jersey_Estimate,63761,50218,74481,144906,812325,621122,103442
New Mexico_Estimate,64578,49702,67792,86600,115144,49034,9815
New York_Estimate,188180,307362,354290,402601,864728,1171766,390238
North Carolina_Estimate,190560,262527,314746,386534,663868,302882,52959
North Dakota_Estimate,18145,18930,21239,26543,44907,12921,1059
Ohio_Estimate,237308,454304,550168,562742,533896,161275,27069
Oklahoma_Estimate,99412,161460,168668,180618,140721,43854,9412
Oregon_Estimate,45906,29850,28057,38263,429660,336820,44634
Pennsylvania_Estimate,236393,407630,433265,548033,804276,324489,50046
Rhode Island_Estimate,6299,2630,5297,13992,113651,51110,9325
South Carolina_Estimate,135050,171554,166036,212480,290535,131751,31194
South Dakota_Estimate,22942,24674,26752,35598,52310,18145,3848
Tennessee_Estimate,114961,193155,209320,260338,422553,198411,42809
Texas_Estimate,470741,650258,695179,913194,1554718,713343,166306
Utah_Estimate,28401,11008,11683,24748,323970,232207,36375
Vermont_Estimate,9209,9734,17821,25160,58058,22716,3833
Virginia_Estimate,97430,111048,143109,212871,622189,514144,101760
Washington_Estimate,63303,37090,37078,58649,618036,708089,214955
West Virginia_Estimate,78586,112603,90168,90145,57682,15176,3582
Wisconsin_Estimate,73688,121615,213290,282400,404508,120296,17774
Wyoming_Estimate,11037,5421,15692,24427,46433,17257,7281
Puerto Rico_Estimate,62490,255913,242348,122541,28436,10759,3339
